gen_num	n_dex	name
I	0001	Bulbasaur
I	0002	Ivysaur
I	0003	Venusaur
I	0004	Charmander
I	0005	Charmeleon
I	0006	Charizard
I	0007	Squirtle
I	0008	Wartortle
I	0009	Blastoise
I	0010	Caterpie
I	0011	Metapod
I	0012	Butterfree
I	0013	Weedle
I	0014	Kakuna
I	0015	Beedrill
I	0016	Pidgey
I	0017	Pidgeotto
I	0018	Pidgeot
I	0019	Rattata
I	0020	Raticate
I	0021	Spearow
I	0022	Fearow
I	0023	Ekans
I	0024	Arbok
I	0025	Pikachu
I	0026	Raichu
I	0027	Sandshrew
I	0028	Sandslash
I	0029	Nidoran♀
I	0030	Nidorina
I	0031	Nidoqueen
I	0032	Nidoran♂
I	0033	Nidorino
I	0034	Nidoking
I	0035	Clefairy
I	0036	Clefable
I	0037	Vulpix
I	0038	Ninetales
I	0039	Jigglypuff
I	0040	Wigglytuff
I	0041	Zubat
I	0042	Golbat
I	0043	Oddish
I	0044	Gloom
I	0045	Vileplume
I	0046	Paras
I	0047	Parasect
I	0048	Venonat
I	0049	Venomoth
I	0050	Diglett
I	0051	Dugtrio
I	0052	Meowth
I	0053	Persian
I	0054	Psyduck
I	0055	Golduck
I	0056	Mankey
I	0057	Primeape
I	0058	Growlithe
I	0059	Arcanine
I	0060	Poliwag
I	0061	Poliwhirl
I	0062	Poliwrath
I	0063	Abra
I	0064	Kadabra
I	0065	Alakazam
I	0066	Machop
I	0067	Machoke
I	0068	Machamp
I	0069	Bellsprout
I	0070	Weepinbell
I	0071	Victreebel
I	0072	Tentacool
I	0073	Tentacruel
I	0074	Geodude
I	0075	Graveler
I	0076	Golem
I	0077	Ponyta
I	0078	Rapidash
I	0079	Slowpoke
I	0080	Slowbro
I	0081	Magnemite
I	0082	Magneton
I	0083	Farfetch'd
I	0084	Doduo
I	0085	Dodrio
I	0086	Seel
I	0087	Dewgong
I	0088	Grimer
I	0089	Muk
I	0090	Shellder
I	0091	Cloyster
I	0092	Gastly
I	0093	Haunter
I	0094	Gengar
I	0095	Onix
I	0096	Drowzee
I	0097	Hypno
I	0098	Krabby
I	0099	Kingler
I	0100	Voltorb
I	0101	Electrode
I	0102	Exeggcute
I	0103	Exeggutor
I	0104	Cubone
I	0105	Marowak
I	0106	Hitmonlee
I	0107	Hitmonchan
I	0108	Lickitung
I	0109	Koffing
I	0110	Weezing
I	0111	Rhyhorn
I	0112	Rhydon
I	0113	Chansey
I	0114	Tangela
I	0115	Kangaskhan
I	0116	Horsea
I	0117	Seadra
I	0118	Goldeen
I	0119	Seaking
I	0120	Staryu
I	0121	Starmie
I	0122	Mr. Mime
I	0123	Scyther
I	0124	Jynx
I	0125	Electabuzz
I	0126	Magmar
I	0127	Pinsir
I	0128	Tauros
I	0129	Magikarp
I	0130	Gyarados
I	0131	Lapras
I	0132	Ditto
I	0133	Eevee
I	0134	Vaporeon
I	0135	Jolteon
I	0136	Flareon
I	0137	Porygon
I	0138	Omanyte
